No,Tensile Strength,Warp/Weft Count,Yarn Height,Yarn Width,Thickness,Global density,Area_density(g/m^2),Filament Count,Weave,E1,E2,E3,Poisson's ratio 12,Poisson's ratio 21,Poisson's ratio 13,Poisson's ratio 31,Poisson's ratio 23,Poisson's ratio 32,Shear modulus 12,Shear modulus 13,Shear modulus 23
40,0.47929,8.027649519,0.075172920,0.869107296,0.150345840,1.4263,108.28,1000,Plain,55.091,55.091,16.447,0.078763,0.078763,0.5381,0.16064,0.5381,0.16064,4.4372,4.3562,4.3562
41,0.46197,7.455100002,0.076518925,0.853819283,0.153037849,1.4065,100.54,1000,Plain,50.489,50.489,15.066,0.079499,0.079499,0.5437,0.16225,0.5437,0.16225,4.0035,3.9294,3.9294
42,0.47926,9.375924365,0.084112419,0.776738248,0.168224839,1.4365,126.59,1000,Plain,57.055,57.055,17.156,0.077847,0.077847,0.53901,0.16207,0.53901,0.16207,4.6854,4.6794,4.6794
43,0.46426,7.740698406,0.080263271,0.813987926,0.160526542,1.4044,104.41,1000,Plain,49.92,49.92,14.918,0.079392,0.079392,0.5453,0.16295,0.5453,0.16295,3.9622,3.907,3.907
44,0.48422,7.929413308,0.070973674,0.920529118,0.141947348,1.4368,106.93,1000,Plain,57.645,57.645,17.262,0.078996,0.078996,0.53381,0.15985,0.53381,0.15985,4.6926,4.5849,4.5849
45,0.46941,8.720506057,0.083056373,0.786614333,0.166112746,1.4227,117.69,1000,Plain,53.955,53.955,16.134,0.078217,0.078217,0.54195,0.16206,0.54195,0.16206,4.3519,4.3241,4.3241
46,0.48256,9.009411619,0.079073903,0.826231295,0.158147806,1.4416,121.59,1000,Plain,58.493,58.493,17.604,0.078366,0.078366,0.53533,0.16111,0.53533,0.16111,4.8192,4.7706,4.7706
47,0.49263,9.062569379,0.073801586,0.885256499,0.147603171,1.4604,122.28,1000,Plain,63.158,63.158,19.278,0.079493,0.079493,0.52751,0.16102,0.52751,0.16102,5.3592,5.2687,5.2687
48,0.48751,9.449154260,0.079007334,0.826927448,0.158014669,1.4537,127.55,1000,Plain,61.321,61.321,18.628,0.07866,0.07866,0.53184,0.16156,0.53184,0.16156,5.1565,5.114,5.114
49,0.48878,8.449195957,0.070811705,0.922634661,0.141623410,1.4529,113.96,1000,Plain,61.481,61.481,18.617,0.079391,0.079391,0.52877,0.16011,0.52877,0.16011,5.1338,5.02,5.02
50,0.49624,9.430400552,0.071957660,0.907941327,0.143915320,1.4779,127.26,1000,Plain,67.516,67.516,21.061,0.081044,0.081044,0.52084,0.16247,0.52084,0.16247,5.9538,5.8436,5.8436
51,0.46590,8.449627443,0.082636687,0.790609299,0.165273374,1.4168,114.02,1000,Plain,52.644,52.644,15.727,0.078483,0.078483,0.5432,0.16228,0.5432,0.16228,4.2211,4.1862,4.1862
52,0.48250,8.875637421,0.077969317,0.837936457,0.155938634,1.4414,119.77,1000,Plain,58.485,58.485,17.592,0.078466,0.078466,0.53494,0.16091,0.53494,0.16091,4.8128,4.7547,4.7547
53,0.48785,9.323281258,0.073724361,0.886183787,0.147448722,1.4682,125.82,1000,Plain,65.047,65.047,20.034,0.080014,0.080014,0.52493,0.16167,0.52493,0.16167,5.6118,5.5205,5.5205
54,0.49275,8.802111892,0.074426179,0.877827326,0.148852357,1.4507,118.76,1000,Plain,60.833,60.833,18.403,0.079,0.079,0.53077,0.16057,0.53077,0.16057,5.071,4.9856,4.9856
55,0.48451,10.306081646,0.083090292,0.786293217,0.166180585,1.4633,139.22,1000,Plain,63.335,63.335,19.469,0.078635,0.078635,0.53117,0.16328,0.53117,0.16328,5.4513,5.4655,5.4655
56,0.48445,9.052942642,0.076324989,0.855988768,0.152649978,1.4515,122.16,1000,Plain,60.937,60.937,18.458,0.078851,0.078851,0.5313,0.16093,0.5313,0.16093,5.0933,5.0243,5.0243
57,0.48921,10.161906704,0.070966454,0.920622770,0.141932908,1.5038,137.18,1000,Plain,74.123,74.123,24.222,0.084685,0.084685,0.5106,0.16686,0.5106,0.16686,7.0416,6.9118,6.9118
58,0.46934,7.487467215,0.073050712,0.894355867,0.146101425,1.4172,100.96,1000,Plain,53.033,53.033,15.802,0.07917,0.07917,0.53996,0.16089,0.53996,0.16089,4.2295,4.1377,4.1377
59,0.48481,9.825869510,0.082393413,0.792943646,0.164786826,1.4531,132.69,1000,Plain,60.982,60.982,18.542,0.078267,0.078267,0.53371,0.16228,0.53371,0.16228,5.1379,5.1313,5.1313
60,0.48739,8.391868929,0.083226559,0.785005818,0.166453119,1.4138,113.24,1000,Plain,51.939,51.939,15.518,0.078583,0.078583,0.54414,0.16258,0.54414,0.16258,4.1561,4.1233,4.1233
61,0.46452,7.578739690,0.077301261,0.845178104,0.154602522,1.4078,102.21,1000,Plain,50.767,50.767,15.149,0.079367,0.079367,0.5436,0.16221,0.5436,0.16221,4.0302,3.9601,3.9601
62,0.48870,10.246280031,0.078976970,0.827245373,0.157953941,1.4753,138.38,1000,Plain,66.49,66.49,20.717,0.080014,0.080014,0.52512,0.16362,0.52512,0.16362,5.8596,5.8319,5.8319
63,0.47298,8.217180509,0.077909012,0.838585060,0.155818024,1.4236,110.85,1000,Plain,54.365,54.365,16.231,0.078619,0.078619,0.53976,0.16115,0.53976,0.16115,4.373,4.309,4.309
64,0.48485,9.627842361,0.079372319,0.823124911,0.158744639,1.4573,129.98,1000,Plain,62.161,62.161,18.952,0.078769,0.078769,0.53095,0.16188,0.53095,0.16188,5.2654,5.2293,5.2293
65,0.48630,9.540992949,0.082825626,0.788805792,0.165651252,1.4444,128.82,1000,Plain,58.945,58.945,17.801,0.078017,0.078017,0.53632,0.16196,0.53632,0.16196,4.8937,4.883,4.883
66,0.49357,10.091571319,0.074232092,0.880122489,0.148464183,1.4884,136.24,1000,Plain,70.01,70.01,22.229,0.08199,0.08199,0.51811,0.16451,0.51811,0.16451,6.3608,6.2767,6.2767
67,0.48327,9.182852725,0.083256333,0.784725093,0.166512665,1.4340,123.96,1000,Plain,56.523,56.523,16.968,0.077951,0.077951,0.53925,0.16188,0.53925,0.16188,4.6218,4.6053,4.6053
68,0.49041,9.628298519,0.078515355,0.832108998,0.157030710,1.4601,129.98,1000,Plain,62.873,62.873,19.218,0.079,0.079,0.52968,0.16191,0.52968,0.16191,5.3519,5.3082,5.3082
69,0.48739,8.221144197,0.071726546,0.910866859,0.143453091,1.4429,110.88,1000,Plain,59.077,59.077,17.757,0.079018,0.079018,0.53218,0.15996,0.53218,0.15996,4.8541,4.7494,4.7494
70,0.47750,7.944747621,0.073405017,0.890039068,0.146810035,1.4294,107.15,1000,Plain,55.848,55.848,16.681,0.078842,0.078842,0.5367,0.16031,0.5367,0.16031,4.5096,4.4179,4.4179
71,0.49350,10.135601764,0.078939736,0.827635571,0.157879472,1.4725,136.87,1000,Plain,65.8,65.8,20.42,0.079774,0.079774,0.52604,0.16325,0.52604,0.16325,5.7583,5.7278,5.7278
72,0.49051,8.498319165,0.073591694,0.887781354,0.147183387,1.4448,114.64,1000,Plain,59.456,59.456,17.901,0.078905,0.078905,0.53226,0.16026,0.53226,0.16026,4.9046,4.8128,4.8128
73,0.48132,10.376940165,0.071971235,0.907770075,0.143942470,1.5059,140.11,1000,Plain,74.623,74.623,24.509,0.084954,0.084954,0.51021,0.16757,0.51021,0.16757,7.1462,7.0298,7.0298
74,0.49700,9.322045242,0.072427716,0.902048790,0.144855431,1.4729,125.79,1000,Plain,66.266,66.266,20.528,0.080529,0.080529,0.52277,0.16194,0.52277,0.16194,5.7747,5.6701,5.6701
75,0.47786,9.175935021,0.082673088,0.790261197,0.165346176,1.4354,123.86,1000,Plain,56.888,56.888,17.085,0.077999,0.077999,0.5386,0.16176,0.5386,0.16176,4.6586,4.6381,4.6381
76,0.48630,10.323212405,0.084453506,0.773601194,0.168907013,1.4595,139.46,1000,Plain,62.346,62.346,19.099,0.07827,0.07827,0.53306,0.1633,0.53306,0.1633,5.3316,5.3586,5.3586
77,0.48418,8.574692467,0.075185188,0.868965482,0.150370376,1.4418,115.68,1000,Plain,58.689,58.689,17.643,0.078718,0.078718,0.53373,0.16045,0.53373,0.16045,4.8233,4.7433,4.7433
78,0.48421,9.024363650,0.078934376,0.827691764,0.157868753,1.4425,121.79,1000,Plain,58.692,58.692,17.672,0.078387,0.078387,0.53505,0.16111,0.53505,0.16111,4.8413,4.7921,4.7921
79,0.47795,8.428478810,0.078984779,0.827163586,0.157969559,1.4262,113.72,1000,Plain,54.936,54.936,16.418,0.078462,0.078462,0.53946,0.16122,0.53946,0.16122,4.4348,4.3791,4.3791
80,0.46748,7.829594431,0.079235564,0.824545567,0.158471129,1.4094,105.61,1000,Plain,51.091,51.091,15.249,0.079131,0.079131,0.54378,0.16231,0.54378,0.16231,4.0645,4.0051,4.0051
81,0.48982,10.161828322,0.070887658,0.921646096,0.141775316,1.5041,137.18,1000,Plain,74.215,74.215,24.269,0.084753,0.084753,0.51042,0.16692,0.51042,0.16692,7.0577,6.9267,6.9267
82,0.47783,9.007878203,0.081254758,0.804055481,0.162509516,1.4351,121.58,1000,Plain,56.885,56.885,17.072,0.078139,0.078139,0.53804,0.16147,0.53804,0.16147,4.6508,4.6174,4.6174
83,0.48814,9.160007198,0.078020186,0.837390127,0.156040372,1.4490,123.62,1000,Plain,60.264,60.264,18.226,0.078608,0.078608,0.53278,0.16113,0.53278,0.16113,5.0211,4.9666,4.9666
84,0.48381,8.143257156,0.072888340,0.896348210,0.145776681,1.4368,109.83,1000,Plain,57.596,57.596,17.255,0.078856,0.078856,0.5344,0.1601,0.5344,0.1601,4.6933,4.5975,4.5975
85,0.47772,8.844703358,0.081293889,0.803668447,0.162587777,1.4307,119.37,1000,Plain,55.874,55.874,16.736,0.078178,0.078178,0.53921,0.16151,0.53921,0.16151,4.5421,4.5062,4.5062
86,0.48152,10.100797348,0.070109785,0.931871832,0.140219569,1.5056,136.34,1000,Plain,74.654,74.654,24.487,0.085112,0.085112,0.50944,0.1671,0.50944,0.1671,7.1312,6.9889,6.9889
87,0.48513,8.250444160,0.074923842,0.871996577,0.149847683,1.4334,111.29,1000,Plain,56.741,56.741,16.98,0.078697,0.078697,0.53605,0.16042,0.53605,0.16042,4.6082,4.5259,4.5259
88,0.48389,10.179873028,0.083764095,0.779968233,0.167528190,1.4580,137.51,1000,Plain,62.037,62.037,18.966,0.078288,0.078288,0.5331,0.16298,0.5331,0.16298,5.2845,5.3004,5.3004
89,0.48412,9.181760405,0.078825510,0.828834895,0.157651020,1.4470,123.92,1000,Plain,59.768,59.768,18.054,0.078479,0.078479,0.5337,0.16121,0.5337,0.16121,4.9664,4.9185,4.9185
90,0.48840,10.253030318,0.079070081,0.826271235,0.158140162,1.4752,138.47,1000,Plain,66.449,66.449,20.702,0.07999,0.07999,0.52522,0.16363,0.52522,0.16363,5.8546,5.828,5.828
91,0.48320,9.418139211,0.082338672,0.793470814,0.164677345,1.4427,127.15,1000,Plain,58.57,58.57,17.662,0.078048,0.078048,0.53655,0.1618,0.53655,0.1618,4.8466,4.8294,4.8294
92,0.49243,10.490629977,0.083192253,0.785329536,0.166384506,1.4677,141.73,1000,Plain,64.37,64.37,19.895,0.07889,0.07889,0.52993,0.16379,0.52993,0.16379,5.596,5.6176,5.6176
93,0.47311,7.603191779,0.074814796,0.873267551,0.149629591,1.4154,102.53,1000,Plain,52.568,52.568,15.668,0.079129,0.079129,0.54095,0.16123,0.54095,0.16123,4.1897,4.1071,4.1071
94,0.47660,7.479975124,0.071844322,0.909373655,0.143688643,1.4206,100.86,1000,Plain,53.853,53.853,16.047,0.079131,0.079131,0.5387,0.16052,0.5387,0.16052,4.3054,4.2069,4.2069
95,0.48731,10.264084121,0.080819550,0.808385263,0.161639100,1.4696,138.63,1000,Plain,64.975,64.975,20.104,0.07932,0.07932,0.52799,0.16337,0.52799,0.16337,5.6578,5.6492,5.6492
96,0.49342,9.438863565,0.076605206,0.852857612,0.153210413,1.4613,127.40,1000,Plain,63.258,63.258,19.347,0.079269,0.079269,0.52841,0.16161,0.52841,0.16161,5.3893,5.3261,5.3261
97,0.46901,7.231000605,0.071901036,0.908656360,0.143802071,1.4131,97.50,1000,Plain,52.113,52.113,15.524,0.079413,0.079413,0.54077,0.16109,0.54077,0.16109,4.1408,4.0447,4.0447
98,0.48905,9.644120684,0.078847355,0.828605266,0.157694709,1.4595,130.20,1000,Plain,62.698,62.698,19.154,0.078929,0.078929,0.53005,0.16193,0.53005,0.16193,5.3313,5.2908,5.2908
99,0.49738,9.638566660,0.070541025,0.926174997,0.141082049,1.4898,130.07,1000,Plain,70.551,70.551,22.427,0.082572,0.082572,0.5159,0.164,0.5159,0.164,6.4166,6.2874,6.2874
855,0.48986,5.251066014,0.136177648,1.439296413,0.272355296,1.4453,212.60,3000,Plain,59.377,59.377,17.912,0.078463,0.078463,0.5341,0.16112,0.5341,0.16112,4.9192,4.8686,4.8686
856,0.46862,6.160973480,0.172838777,1.134004783,0.345677554,1.4273,250.02,3000,Plain,53.865,53.865,16.304,0.076177,0.076177,0.55032,0.16657,0.55032,0.16657,4.4595,4.6178,4.6178
857,0.46475,4.277015784,0.128699693,1.522925160,0.257399385,1.4113,173.02,3000,Plain,51.639,51.639,15.392,0.079357,0.079357,0.54188,0.16152,0.54188,0.16152,4.1023,4.0176,4.0176
858,0.48576,4.558780634,0.117695880,1.665308928,0.235391760,1.4462,184.42,3000,Plain,59.97,59.97,18.052,0.079373,0.079373,0.53,0.15954,0.53,0.15954,4.9441,4.8143,4.8143
859,0.48003,5.036682181,0.135918872,1.442036688,0.271837744,1.4357,203.89,3000,Plain,57.146,57.146,17.138,0.078394,0.078394,0.53672,0.16096,0.53672,0.16096,4.666,4.6099,4.6099
860,0.49317,5.190302423,0.117412323,1.669330737,0.234824646,1.4811,210.05,3000,Plain,68.495,68.495,21.447,0.081782,0.081782,0.51802,0.1622,0.51802,0.1622,6.0742,5.9217,5.9217
861,0.46639,5.616450202,0.160100602,1.224230252,0.320201203,1.4234,227.64,3000,Plain,53.609,53.609,16.111,0.07724,0.07724,0.54637,0.1642,0.54637,0.1642,4.3691,4.4283,4.4283
862,0.46607,5.257583543,0.158572752,1.236025720,0.317145504,1.4111,213.00,3000,Plain,50.936,50.936,15.278,0.078002,0.078002,0.54833,0.16447,0.54833,0.16447,4.0981,4.1269,4.1269
863,0.48673,6.055658501,0.142980666,1.370814710,0.285961332,1.4697,245.43,3000,Plain,64.898,64.898,20.103,0.079114,0.079114,0.52893,0.16385,0.52893,0.16385,5.6642,5.6794,5.6794
864,0.48627,6.634352309,0.149840552,1.308057113,0.299681104,1.4823,269.17,3000,Plain,67.537,67.537,21.368,0.079633,0.079633,0.52768,0.16695,0.52768,0.16695,6.1174,6.219,6.219
865,0.47739,4.082162780,0.117590895,1.666795713,0.235181790,1.4206,165.10,3000,Plain,53.942,53.942,16.063,0.079364,0.079364,0.53772,0.16013,0.53772,0.16013,4.306,4.1895,4.1895
866,0.48704,6.011402531,0.123761553,1.583690539,0.247523105,1.5092,243.49,3000,Plain,75.51,75.51,24.98,0.085628,0.085628,0.5086,0.16825,0.5086,0.16825,7.3099,7.185,7.185
867,0.49550,5.251914407,0.127572066,1.536386501,0.255144132,1.4619,212.60,3000,Plain,63.526,63.526,19.421,0.079594,0.079594,0.52696,0.1611,0.52696,0.1611,5.4065,5.3147,5.3147
868,0.48792,5.676069485,0.136818147,1.432558503,0.273636294,1.4641,229.91,3000,Plain,63.78,63.78,19.585,0.07917,0.07917,0.52871,0.16235,0.52871,0.16235,5.4761,5.4403,5.4403
869,0.48598,4.421160816,0.118400342,1.655400631,0.236800683,1.4374,178.84,3000,Plain,57.854,57.854,17.322,0.079179,0.079179,0.53288,0.15954,0.53288,0.15954,4.708,4.5852,4.5852
870,0.48460,6.402233706,0.148283967,1.321788217,0.296567934,1.4752,259.65,3000,Plain,65.932,65.932,20.617,0.079115,0.079115,0.52923,0.16549,0.52923,0.16549,5.8531,5.9238,5.9238
871,0.48671,6.904784727,0.155134966,1.263416013,0.310269932,1.4840,280.34,3000,Plain,67.598,67.598,21.502,0.079322,0.079322,0.52948,0.16842,0.52948,0.16842,6.1821,6.3477,6.3477
872,0.47154,4.940272534,0.143103114,1.369641757,0.286206227,1.4196,200.00,3000,Plain,53.281,53.281,15.922,0.078365,0.078365,0.54252,0.16212,0.54252,0.16212,4.283,4.2498,4.2498
873,0.47072,6.076967847,0.170100530,1.152259781,0.340201061,1.4278,246.55,3000,Plain,54.106,54.106,16.356,0.076369,0.076369,0.54915,0.16601,0.54915,0.16601,4.4703,4.6087,4.6087
874,0.48496,6.629167457,0.144513839,1.356271495,0.289027677,1.4924,268.91,3000,Plain,70.284,70.284,22.588,0.081279,0.081279,0.52217,0.16781,0.52217,0.16781,6.5265,6.5914,6.5914
875,0.47209,6.634427510,0.176865420,1.108187230,0.353730840,1.4395,269.51,3000,Plain,56.202,56.202,17.17,0.075483,0.075483,0.55013,0.16807,0.55013,0.16807,4.7612,5.0004,5.0004
876,0.48136,4.295040501,0.118309305,1.656674427,0.236618610,1.4307,173.72,3000,Plain,56.299,56.299,16.807,0.079171,0.079171,0.53486,0.15968,0.53486,0.15968,4.5428,4.4231,4.4231
877,0.49521,5.263322875,0.130279671,1.504455747,0.260559342,1.4570,213.07,3000,Plain,62.291,62.291,18.957,0.079184,0.079184,0.52915,0.16103,0.52915,0.16103,5.2557,5.1777,5.1777
878,0.48881,5.599495855,0.142407763,1.376329467,0.284815525,1.4503,226.82,3000,Plain,60.346,60.346,18.302,0.078203,0.078203,0.5344,0.16208,0.5344,0.16208,5.0577,5.0464,5.0464
879,0.46757,6.075631342,0.171148894,1.145201671,0.342297789,1.4263,246.51,3000,Plain,53.744,53.744,16.246,0.076346,0.076346,0.54981,0.1662,0.54981,0.1662,4.4364,4.5784,4.5784
880,0.49596,4.946546893,0.120305559,1.629184901,0.240611118,1.4614,200.16,3000,Plain,63.585,63.585,19.409,0.079942,0.079942,0.52552,0.16042,0.52552,0.16042,5.3933,5.2661,5.2661
881,0.48663,6.059502783,0.145752277,1.344747431,0.291504554,1.4648,245.61,3000,Plain,63.612,63.612,19.601,0.078586,0.078586,0.53136,0.16373,0.53136,0.16373,5.5,5.5306,5.5306
882,0.47595,6.250432945,0.169692440,1.155030830,0.339384880,1.4349,253.66,3000,Plain,55.667,55.667,16.883,0.076181,0.076181,0.54772,0.16612,0.54772,0.16612,4.6445,4.802,4.802
883,0.48836,6.244496963,0.146618648,1.336801302,0.293237297,1.4714,253.18,3000,Plain,65.114,65.114,20.239,0.078952,0.078952,0.52974,0.16466,0.52974,0.16466,5.7192,5.7677,5.7677
884,0.48119,4.841331976,0.130561718,1.501205738,0.261123436,1.4358,195.93,3000,Plain,57.285,57.285,17.164,0.078657,0.078657,0.53553,0.16046,0.53553,0.16046,4.6684,4.5894,4.5894
885,0.47093,6.367837985,0.176910796,1.107902992,0.353821592,1.4297,258.56,3000,Plain,54.13,54.13,16.44,0.075751,0.075751,0.5517,0.16756,0.5517,0.16756,4.5156,4.7162,4.7162
